srcfile1,startline1,endline1,srcfile2,startline2,endline2,isclone,type1sim,type2sim,type3sim
default/11030.java,4,205,default/43483.java,4,205,f,1,1,1
selected/569653.java,513,527,selected/606818.java,515,529,t,1,1,1
selected/1444533.java,184,191,selected/2426517.java,113,120,f,0.375,0.5,0.75
selected/1480342.java,254,275,selected/2510042.java,1133,1148,f,0.1818181818,0.1818181818,0.2272727273
default/41424.java,63,73,selected/2476131.java,151,161,f,0,0,0
selected/1734184.java,1750,1756,selected/1754307.java,175,181,f,0.1428571429,0.1428571429,0.4285714286
selected/179781.java,689,701,selected/330378.java,1214,1226,t,0.8461538462,0.4615384615,0.9230769231
selected/1457370.java,278,287,selected/1843911.java,276,285,t,1,1,1
selected/1766099.java,566,597,selected/313587.java,360,385,t,0.0666666667,0.0666666667,0.2
default/41120.java,135,182,default/71559.java,135,182,t,1,1,1
selected/2242014.java,269,288,selected/2467588.java,209,228,t,0.9523809524,0.4285714286,0.9523809524
selected/2137395.java,272,291,selected/655957.java,140,159,t,1,1,1
default/134647.java,626,651,default/72294.java,647,672,t,0.8518518519,0.7407407407,0.962962963
default/115118.java,1,41,default/67675.java,1,49,f,1,1,1
selected/1172279.java,116,145,selected/965733.java,306,335,f,0,0,0
selected/1425529.java,264,277,selected/2543269.java,338,349,f,0.2857142857,0.2857142857,0.3571428571
default/21828.java,111,119,default/25497.java,86,95,t,0.5555555556,0.3333333333,0.7777777778
selected/2068849.java,438,444,selected/600974.java,192,198,f,0.1428571429,0.1428571429,0.7142857143
selected/1405489.java,785,794,selected/1405489.java,831,840,f,0.5555555556,0.8888888889,0.8888888889
selected/1357628.java,943,960,selected/636639.java,183,193,f,0.2222222222,0.2222222222,0.2222222222
selected/1724153.java,5,12,selected/80096.java,11,18,f,0.25,0.125,0.875
default/113986.java,54,62,default/47340.java,73,82,f,0.6666666667,0.7777777778,0.7777777778
selected/235380.java,59,64,selected/244701.java,251,257,f,0.5,0.8333333333,0.8333333333
selected/509771.java,53,55,selected/776272.java,38,40,f,0,0,0
selected/811707.java,499,506,selected/843380.java,642,648,f,0,0,0.375
selected/1506283.java,34,36,selected/2302616.java,42,44,t,0,0,0
selected/1160700.java,10,10,selected/761911.java,10,10,f,1,1,1
default/102869.java,954,967,default/114239.java,276,288,f,0.5714285714,0.3571428571,0.7142857143
selected/844468.java,48,54,selected/86644.java,173,179,f,0.4285714286,0.5714285714,0.7142857143
default/126614.java,408,415,default/19383.java,415,422,t,1,1,1
selected/1133712.java,497,503,selected/1460031.java,518,524,f,0.5714285714,0.4285714286,0.5714285714
selected/1106036.java,99,105,selected/1478771.java,349,354,f,0.1428571429,0.1428571429,0.7142857143
selected/2598641.java,41,46,selected/741366.java,108,113,f,0.6666666667,0.8333333333,0.8333333333
selected/106733.java,241,243,selected/2438808.java,807,809,f,0.6666666667,1,1
selected/1689589.java,911,933,selected/1918096.java,197,202,f,0.0909090909,0.0909090909,0.1818181818
selected/1799190.java,25,37,selected/779248.java,4,22,f,0,0,0.375
default/67675.java,650,667,default/98684.java,570,590,f,0.85,0.4,0.85
selected/2680234.java,141,411,selected/841368.java,483,753,t,0.3982300885,0.5973451327,0.5973451327
selected/1855532.java,74,86,selected/932304.java,407,421,f,0,0,0
selected/1397044.java,466,472,selected/880474.java,311,317,f,0.375,0.25,0.75
selected/2518261.java,94,100,selected/777766.java,106,112,t,0.625,0.25,0.75
selected/2386052.java,1310,1313,selected/2386052.java,1340,1343,t,0,0,0
selected/1326963.java,386,403,selected/1484507.java,309,327,t,0.3333333333,0.5555555556,0.8333333333
default/35432.java,687,703,default/65982.java,687,703,t,1,1,1
default/14592.java,202,265,default/83993.java,202,265,t,1,1,1
selected/1145434.java,29,40,selected/1440269.java,11,22,t,0.9285714286,0.9285714286,0.9285714286
default/5224.java,261,293,default/63131.java,261,293,t,1,1,1
default/114331.java,520,550,default/23875.java,544,574,t,0.84375,0.96875,0.96875
selected/1400003.java,29,311,selected/1628500.java,23,246,t,1,1,1
selected/2339736.java,60,74,selected/2434572.java,116,130,t,0.6470588235,0.8235294118,0.8235294118
selected/2206340.java,105,133,selected/2448576.java,1164,1192,f,0,0,0
selected/127068.java,875,886,selected/2727594.java,710,719,f,0.5,0.2142857143,0.7142857143
selected/1722454.java,762,766,selected/917726.java,151,154,f,0,0,0
selected/1098670.java,855,863,selected/2465515.java,667,675,t,0.8888888889,0.8888888889,0.8888888889
selected/1122674.java,65,71,selected/814444.java,102,109,f,0.4285714286,0.7142857143,0.8571428571
selected/2340740.java,1117,1126,selected/2542364.java,1016,1030,f,0.3,0.5,0.5
selected/1160700.java,10,37,selected/2702034.java,10,10,f,0.0434782609,0.0434782609,0.0434782609
default/118344.java,537,544,default/92220.java,583,590,t,1,1,1
selected/952493.java,467,488,selected/965733.java,432,453,t,1,1,1
default/91707.java,522,540,default/95106.java,506,524,t,1,1,1
selected/1664613.java,1200,1217,selected/656204.java,1342,1358,t,0.6666666667,0.8333333333,0.8888888889
default/122249.java,1542,1547,default/125218.java,1561,1566,t,0.8,0.8,0.8
default/67669.java,1363,1369,default/73729.java,1381,1387,t,0.5714285714,0.5714285714,0.7142857143
selected/1510991.java,16,29,selected/2512045.java,21,34,t,0.7857142857,0.9285714286,0.9285714286
selected/965733.java,303,328,selected/965733.java,312,337,f,1,1,1
selected/2235486.java,337,351,selected/390506.java,39,51,f,0.2,0.2,0.2666666667
default/21681.java,678,685,default/23409.java,561,568,t,0.8888888889,0.8888888889,0.8888888889
selected/1168120.java,484,494,selected/1586595.java,377,387,t,0.9166666667,0.9166666667,0.9166666667
selected/1330759.java,136,141,selected/975587.java,152,157,t,0.7142857143,0.2857142857,0.8571428571
selected/573190.java,655,664,selected/573190.java,687,699,f,0.0909090909,0.3636363636,0.3636363636
selected/965733.java,311,340,selected/965733.java,462,491,t,1,1,1
default/58574.java,14,37,default/74406.java,8,29,t,0.6538461538,0.6153846154,0.7692307692
selected/1255106.java,84,87,selected/2210714.java,39,42,t,0,0.75,0.75
selected/1037232.java,163,185,selected/2077902.java,127,149,t,1,1,1
default/137594.java,381,392,default/55109.java,381,392,t,1,1,1
selected/1859240.java,60,69,selected/1859240.java,101,110,t,0.8,1,1
selected/1539341.java,63,68,selected/253760.java,49,57,f,0.6666666667,0.5,1
default/128156.java,74,106,default/52364.java,74,106,t,1,1,1
selected/1160700.java,10,81,selected/2702034.java,10,10,f,0.0357142857,0.0357142857,0.0357142857
selected/1160700.java,10,51,selected/2702034.java,10,10,f,0.0357142857,0.0357142857,0.0357142857
selected/1160700.java,10,10,selected/667848.java,10,1556,f,1,1,1
default/53210.java,160,176,default/97613.java,160,176,t,1,1,1
selected/1427256.java,136,142,selected/440841.java,90,96,f,0.7142857143,0.5714285714,0.8571428571
selected/1691323.java,122,126,selected/1908173.java,100,104,t,0.6666666667,0.8333333333,0.8333333333
selected/2622966.java,173,187,selected/607885.java,92,103,f,0.2142857143,0.2142857143,0.2142857143
selected/667848.java,10,10,selected/761911.java,10,1556,f,1,1,1
selected/231038.java,1164,1185,selected/2585381.java,1269,1290,f,NaN,NaN,NaN
selected/1934477.java,239,249,selected/2451101.java,324,334,t,0.9090909091,1,1
selected/1044979.java,398,417,selected/1617424.java,253,263,f,0.1428571429,0.1428571429,0.1904761905
selected/2702034.java,10,10,selected/667848.java,10,41,f,1,1,1
default/111086.java,30,44,default/55775.java,30,44,t,1,1,1
selected/1836624.java,43,53,selected/622840.java,442,452,f,0.1818181818,0.2727272727,0.6363636364
selected/1489602.java,131,139,selected/2581829.java,48,51,f,0,0,0
selected/138171.java,229,236,selected/617518.java,159,168,f,0,0,0
selected/2232349.java,359,365,selected/234521.java,54,60,f,0.1428571429,0.1428571429,0.7142857143
selected/191844.java,1188,1203,selected/2311713.java,273,288,t,0.3125,0.3125,0.3125
selected/750583.java,295,300,selected/909036.java,168,173,f,0.5,0.5,0.8333333333
selected/2482618.java,85,92,selected/459626.java,108,114,f,0.5,0.5,0.75
selected/114964.java,1327,1334,selected/1916485.java,1256,1263,f,0,0,0
selected/1578910.java,833,840,selected/687849.java,729,737,f,0.8,0.3,0.8
default/102869.java,1155,1170,default/39035.java,1155,1170,t,1,1,1
selected/468275.java,96,103,selected/468275.java,111,117,f,0,0.5,0.5
selected/2614578.java,113,122,selected/926194.java,475,484,f,0.1,0.2,1
default/11981.java,476,484,default/60868.java,606,613,t,0.4444444444,0.5555555556,0.5555555556
selected/2485283.java,879,939,selected/2485283.java,1467,1527,f,0.625,0.9821428571,1
selected/1408932.java,271,280,selected/1449454.java,345,354,f,0.3,0.3,0.7
selected/1160700.java,10,10,selected/667848.java,10,1468,f,1,1,1
default/58395.java,30,34,selected/2000647.java,199,203,f,0,0,0
selected/2215134.java,714,722,selected/2215134.java,857,865,f,0.6666666667,0.4444444444,0.7777777778
selected/2680689.java,402,410,selected/327063.java,87,105,f,0.2,0.3,0.4
selected/2472959.java,141,156,selected/745314.java,343,348,f,0,0,0.2222222222
default/80510.java,248,261,default/80832.java,910,922,f,0.4285714286,0.2142857143,0.5
default/21155.java,186,192,selected/856228.java,31,37,f,0.5714285714,0.7142857143,0.8571428571
selected/2535092.java,584,603,selected/990750.java,24,35,f,0.2,0.25,0.3
selected/2084601.java,108,114,selected/323586.java,1132,1138,f,0.4285714286,0.4285714286,0.7142857143
selected/1397981.java,149,183,selected/2219826.java,98,132,f,1,1,1
default/127876.java,163,172,selected/174244.java,99,108,f,0.3,0.3,0.7
selected/1561076.java,378,693,selected/707943.java,339,627,f,1,1,1
selected/1354438.java,768,789,selected/610452.java,977,986,f,0.0909090909,0.0909090909,0.1818181818
selected/137727.java,131,143,selected/2712776.java,207,219,f,1,1,1
default/123780.java,99,111,default/86457.java,99,111,t,1,1,1
selected/1181075.java,88,100,selected/2124925.java,73,95,f,0.3846153846,0.2307692308,0.6153846154
selected/2701228.java,73,80,selected/682167.java,92,99,t,0.875,1,1
selected/1512092.java,138,144,selected/1835476.java,66,72,t,0.625,0.25,0.75
selected/1128882.java,224,228,selected/1706871.java,130,134,t,1,1,1
selected/1120219.java,250,273,selected/2467588.java,209,231,t,0.92,0.48,0.92
default/117641.java,183,197,default/19311.java,183,197,t,1,1,1
default/53104.java,658,665,default/6320.java,561,568,t,0.8888888889,0.8888888889,0.8888888889
selected/1766426.java,9,13,selected/1960353.java,417,421,t,0,0.4,0.8
default/134599.java,48,62,default/82481.java,48,62,t,1,1,1
default/120094.java,99,111,default/44891.java,99,111,t,1,1,1
default/22303.java,686,711,default/80510.java,686,711,t,1,1,1
selected/1237185.java,23,31,selected/2128909.java,26,34,t,1,1,1
selected/2230700.java,65,72,selected/613000.java,69,76,t,0.875,0.875,0.875
selected/2286616.java,747,754,selected/361180.java,751,758,t,1,1,1
selected/1686567.java,30,41,selected/309189.java,498,504,f,0.1818181818,0.1818181818,0.2727272727
