srcfile1,startline1,endline1,srcfile2,startline2,endline2,tp,fp,isclone,min_lines,max_lines,type1sim,type3sim,diff_lines,avg_lines,type1simtok,type3simtok,type2sim,type2simtok
default/11030.java,4,205,default/43483.java,4,205,0,1,f,202,202,1,1,0,202,1,1,1,
selected/569653.java,513,527,selected/606818.java,515,529,1,0,t,15,15,1,1,0,15,1,1,1,
selected/1444533.java,184,191,selected/2426517.java,113,120,0,1,f,8,8,0.375,0.75,0,8,0.421052631578947,0.421052631578947,0.5,
selected/1480342.java,254,275,selected/2510042.java,1133,1148,0,1,f,16,22,0.181818181818182,0.227272727272727,6,19,0.381679389312977,0.381679389312977,0.181818181818182,
default/41424.java,63,73,selected/2476131.java,151,161,0,1,f,11,11,0,0,0,11,0.333333333333333,0.333333333333333,0,
selected/1734184.java,1750,1756,selected/1754307.java,175,181,0,1,f,7,7,0.142857142857143,0.428571428571429,0,7,0.647058823529412,0.647058823529412,0.142857142857143,
selected/179781.java,689,701,selected/330378.java,1214,1226,1,0,t,13,13,0.846153846153846,0.923076923076923,0,13,0.961165048543689,0.961165048543689,0.461538461538462,
selected/1457370.java,278,287,selected/1843911.java,276,285,1,0,t,10,10,1,1,0,10,1,1,1,
selected/1766099.java,566,597,selected/313587.java,360,385,1,0,t,26,32,0.0666666666666667,0.2,6,29,0.399082568807339,0.399082568807339,0.0666666666666667,
default/41120.java,135,182,default/71559.java,135,182,1,0,t,48,48,1,1,0,48,1,1,1,
selected/2242014.java,269,288,selected/2467588.java,209,228,1,0,t,20,20,0.952380952380952,0.952380952380952,0,20,0.985507246376812,0.985507246376812,0.428571428571429,
selected/2137395.java,272,291,selected/655957.java,140,159,1,0,t,20,20,1,1,0,20,1,1,1,
default/134647.java,626,651,default/72294.java,647,672,1,0,t,26,26,0.851851851851852,0.962962962962963,0,26,0.965174129353234,0.965174129353234,0.740740740740741,
default/115118.java,1,41,default/67675.java,1,49,0,1,f,41,49,1,1,8,45,1,1,1,
selected/1172279.java,116,145,selected/965733.java,306,335,0,1,f,30,30,0,0,0,30,0.19047619047619,0.19047619047619,0,
selected/1425529.java,264,277,selected/2543269.java,338,349,0,1,f,12,14,0.285714285714286,0.357142857142857,2,13,0.372340425531915,0.372340425531915,0.285714285714286,
default/21828.java,111,119,default/25497.java,86,95,5,0,t,9,10,0.555555555555556,0.777777777777778,1,9.5,0.927272727272727,0.927272727272727,0.333333333333333,
selected/2068849.java,438,444,selected/600974.java,192,198,0,1,f,7,7,0.142857142857143,0.714285714285714,0,7,0.35,0.35,0.142857142857143,
selected/1405489.java,785,794,selected/1405489.java,831,840,0,1,f,10,10,0.555555555555556,0.888888888888889,0,10,0.8,0.8,0.888888888888889,
selected/1357628.java,943,960,selected/636639.java,183,193,0,1,f,11,18,0.222222222222222,0.222222222222222,7,14.5,0.333333333333333,0.333333333333333,0.222222222222222,
selected/1724153.java,5,12,selected/80096.java,11,18,0,1,f,8,8,0.25,0.875,0,8,0.875,0.875,0.125,
default/113986.java,54,62,default/47340.java,73,82,0,1,f,9,10,0.666666666666667,0.777777777777778,1,9.5,0.854838709677419,0.854838709677419,0.777777777777778,
selected/235380.java,59,64,selected/244701.java,251,257,0,1,f,6,7,0.5,0.833333333333333,1,6.5,0.739130434782609,0.739130434782609,0.833333333333333,
selected/509771.java,53,55,selected/776272.java,38,40,2,3,f,3,3,0,0,0,3,0.884615384615385,0.884615384615385,0,
selected/811707.java,499,506,selected/843380.java,642,648,0,5,f,7,8,0,0.375,1,7.5,0.543859649122807,0.543859649122807,0,
selected/1506283.java,34,36,selected/2302616.java,42,44,1,0,t,3,3,0,0,0,3,0.9,0.9,0,
